SRC,PINYIN_STR,CHAR
Amen,āmen,阿们
ammonia,āmóníyà,阿摩尼亚
amoeba,āmǐbā,阿米巴
amoxicillin,āmòxīlín,阿莫西林
ampere,ānpéi,安培
amphetamine,ānfēitāmìng,安非他命
ampoule,ānbù,安瓿
antitrust,fǎntuōlāsī,反托拉斯
aspartame,āsībātián,阿斯巴甜
Aspirin,āsīpílín,阿斯匹林
Baccarat,Bǎijiālè,百家乐
bacon,péigēn,培根
bagel,bèiguǒ,贝果
ballet,bālěi,芭蕾
bandage,bēngdài,绷带
banjo,bānzhuóqín,班卓琴
bar,bā,吧 / 酒吧
Baroque,bāluókè,巴罗克
bass,bèisī,贝司
bassoon,bāsōng,巴松
bazooka,bāzǔkǎ,巴祖卡
beer,píjiǔ,啤酒
bikini,bǐjīní,比基尼
bingo,bīnguǒ,宾果
bit,bǐtè,比特
blog,bókè,博客
blues,bùlǔsī,布鲁斯
bolero,bōláiluó,波莱罗
bourgeois,bù'ěrqiáoyà,布尔乔亚
brandy,báilándì,白兰地
brownie,bùlǎngní,布朗尼
bullying,bàlíng,霸凌
bungee,bèngjí,蹦极
bus,bāshì,巴士
bye-bye,bàibài,拜拜
caffeine,kāfēiyīn,咖啡因
calorie,kǎlùlǐ,卡路里
cancan,kāngkāngwǔ,康康舞
cannon,jiānóngpào,加农炮
carat,kèlā,克拉
carbine,kǎbīnqiāng,卡宾枪
card,kǎpiàn,卡片
carnival,jiāniánhuá,嘉年华
cartel,kǎtè'ěr,卡特尔
cartoon,kǎtōng,卡通
cashmere,kāishìmǐ,开士米
celluloid,sàilùluò,赛璐珞
cement,shúiméntīng,水门汀
cha cha,qiàqiàwǔ,恰恰舞
Champagne,xiāngbīn,香槟
cheese,zhīshì,芝士
cherry,chēlízi,车厘子
chiffon,xuěfǎng,雪纺
chocolate,qiǎokèlì,巧克力
cider,xīdá,西打
cigar,xuějiā,雪茄
clone,kèlóng,克隆
Coca,kějiā,可加
Coca-Cola,kěkǒu kělè,可口可乐
cola,kělè,可乐
cocaine,kěkǎyīn,可卡因
cocoa,kěkě,可可
codeine,kědàiyīn,可待因
coffee,kāfēi,咖啡
cookie,qǔqí,曲奇
cool,kù,酷
copy,kǎobèi,拷贝
sofa,shāfā,沙发
coup d'etat,kǔdiédǎ,苦迭打
craton,kèlātōng,克拉通
cream,jìlián,忌廉
crepe,kělìbǐng,可丽饼
croissant,kěsòng,可颂
cumin,kūmíng,枯茗
curry,gālí,咖喱
cyanide,shān'āi,山埃
Dacron,díquèliáng,的确良
daddy,diēdì,爹地
didgeridoo,díjílǐdùguǎn,迪吉里杜管
disco,dísīkě,迪斯科
domino,duōmǐnuò,多米诺
drive-thru,déláisù,得来速
Eucalyptus,yóujiālì,尤加利
eureka,yóulǐkǎ,尤里卡
fantasy,fàntèxī,范特西
fan,fěnsī,粉丝
fascism,fǎxīsī,法西斯
fillet,fēilì,菲力
geek,jíkè,极客
ghetto,gédōu,隔都
go-cart,gāokǎchē,高卡车
golf,gāo'ěrfū,高尔夫
guitar,jítā,吉他
hacker,hēikè,黑客
hallelujah,hālìlùyà,哈利路亚
hamburger,hànbǎobāo,汉堡包
hello,hālóu,哈喽
heroin,hǎiluòyīn,海洛因
hippie,xīpí,嘻皮
honey,hāní,哈尼
hysteria,xiēsīdǐlǐ,歇斯底里
humour,yōumò,幽默
ice cream,bīngqílín,冰淇淋
IP card,āipīkǎ,IP卡
jacket,jiākè,夹克
jazz,juéshìwǔ,爵士舞
Jeep,jípǔchē,吉普车
jitterbug,jítèbā,吉特巴
karaoke,kǎlāōukēi,卡拉OK
ketamine,kètāmìng,克他命
khaki,kǎqí,卡其
koala,kǎolā,考拉
lace,lěisī,蕾丝
lacquer,làkè,腊克
laser,léishè,镭射
latte,nátiě,拿铁
lemon,níngméng,柠檬
limbo,língbōwǔ,凌波舞
liquor,lìkǒujiǔ,利口酒
logic,luóji,逻辑
lottery,lètòu,乐透
mankini,nánjīní,男基尼
marathon,mǎlāsōng,马拉松
margarine,màiqílín,麦淇淋
marker,mǎkèbǐ,马克笔
massage,mǎshājī,马杀鸡
metre,mǐ,米
meme,míyīn,迷因
mini,mǐnǐ,迷你
microphone,màikèfēng,麦克风
model,mótèer,模特儿
modern,módēng,摩登
mohair,mǎhǎimáo,马海毛
mommy,māmi,妈咪
montage,méngtàiqí,蒙太奇
mosaic,mǎsàikè,马赛克
motif,mǔtǐ,母体
motor,mǎdá,马达
motorcycle,mótuōchē,摩托车
mousse,mùsī,慕斯
mozzarella,mòzālǐlā,莫扎里拉
muffin,mǎfēn,玛芬
mug,mǎkèbēi,马克杯
mummy,mùnǎiyī,木乃伊
Nazi,Nàcuì,纳粹
neon,níhóng,霓虹
nicotine,nígǔdīng,尼古丁
Nylon,nílóng,尼龙
ohm,ōumǔ,欧姆
Olympics,Àolínpǐkè,奥林匹克
opium,yāpiàn,鸦片
parfait,bāfēi,芭菲
parka,pàikè dàyī,派克大衣
party,pàiduì,派对
penicillin,pánníxīlín,盘尼西林
Pharaoh,fǎlǎo,法老
pickup truck,píkǎ,皮卡
pie,pài,派
pizza,bǐsà,比萨
poker,pūkè,扑克
polka,bō'ěrkǎ,波尔卡
pudding,bùdīng,布丁
pump,bèng,泵
punk,péngkè,朋克
rabbi,lābǐ,拉比
radar,léidá,雷达
roller,luólā,罗拉
romance,luómànshǐ,罗曼史
rum,lǎngmǔjiu,朗姆酒
rumba,lúnbā,伦巴
salad,shālà,沙拉
salmon,sānwényú,三文鱼
salon,shālóng,沙龙
sandwich,sānmíngzhì,三明治
sardine,shādīngyú,沙丁鱼
sauna,sāngná,桑拿
saxophone,sàkèsīfēng,萨克斯风
scooter,sùkèdá,速克达
shampoo,xiāngbō,香波
sherry,xuělìjiǔ,雪利酒
shock,xīukè,休克
sirloin,shālǎng,沙朗
snooker,sīnuòkè,斯诺克
sonar,shēngnà,声呐
soda,sūdá,苏打
strawberry,shìduōpílí,士多啤梨
Soviet,sūwéi'āi,苏维埃
sundae,shèngdài,圣代
talk show,tuōkǒuxiù,脱口秀
tango,tàngē,探戈
tank,tǎnkè,坦克
tannic acid,dānníngsuān,单宁酸
taxi,dīshì,的士
tarot,tǎluó,塔罗
Teflon,tèfùlóng,特富龙
T-shirt,tīxù,T恤
telephone,délǜfēng,德律风
bowling,bǎolíngqiú,保龄球
toffee,tàifēitáng,太妃糖
toast,tǔsī,土司
tuna,tūnnáyú,吞拿鱼
turquoise,tǔ'ěrqíshí,土耳其石
Vaseline,fánshìlín,凡士林
vitamin,wéitāmìng,维他命
vodka,fútéjiā,伏特加
waltz,huá'ěrzī,华尔兹
watt,wǎtè,瓦特
whisky,wēishìjì,威士忌
X-ray,àikésīguāng,X光
yoga,yújiā,瑜伽
yogurt,yōugé,优格
yo yo,yōuyōu,悠悠球